date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:30:43	163302/163302	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2029%20Apr%202020%2014:11:19%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.eot?	duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regulard41d.eot	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/style.css)
06:30:45	15174/15174	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2016:24:17%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/blog.html	duruthemes.com/demo/html/gorman/light-onepage/blog.html	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:30:50	163000/163000	---M--	200	added ('OK')	font/ttf	date:Wed,%2029%20Apr%202020%2014:12:20%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.ttf	duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.ttf	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/style.css)
06:30:58	67581/67581	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Nov%202018%2017:52:10%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/blog/3.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/blog/3.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:31:01	100237/100237	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2010:42:31%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/blog/post.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/blog/post.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/post.html)
06:31:01	175537/175537	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Feb%202019%2021:25:39%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.svg	duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.svg	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/et-lineicons.css)
06:31:05	76274/76274	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2010:37:15%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/blog/4.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/blog/4.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:31:06	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Feb%202019%2021:25:38%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.svg	duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.svg	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/themify-icons.css)
06:31:08	142193/142193	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2021:52:00%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/04.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/portfolio/04.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:31:18	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.eot?	duruthemes.com/demo/html/gorman/light-onepage/fonts/themifyd41d.eot	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/themify-icons.css)
06:31:18	78584/78584	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Feb%202019%2021:25:36%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.ttf	duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.ttf	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/themify-icons.css)
06:31:20	73630/73630	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2022:55:27%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/call.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/call.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:31:23	100964/100964	---M--	200	added ('OK')	font/woff	date:Wed,%2029%20Apr%202020%2014:12:38%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.woff	duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.woff	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/style.css)
06:31:23	84152/84152	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202020%2020:01:41%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/js/bootstrap.min.js	duruthemes.com/demo/html/gorman/light-onepage/js/bootstrap.min.js	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
